Cost Center,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
450,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,3,3,3,3,3,3
265,7,11,8,4,4,4,4,4,4,4,4,4,6,11,8,1,8,8,8,8,4,4,4,4,4,4
566,4,3,4,5,4,4,4,4,4,4,4,4,11,12,13,13,13,14,12,4,1,1,1,1,1,1
573,3,3,3,3,3,4,4,4,4,4,4,4,2,23,23,23,24,24,22,24,3,3,3,3,3,3
135,24,25,25,21,16,16,4,4,4,4,4,4,21,25,25,18,26,25,25,24,3,3,3,3,4,3
526,59,8,3,14,4,5,4,4,4,4,4,4,5,8,3,12,1,3,5,4,42,8,3,12,3,4
608,3,2,3,4,4,4,4,4,4,4,4,7,3,2,3,1,4,3,4,4,3,3,3,4,4,4
529,3,7,4,3,3,4,5,4,6,4,4,4,24,29,27,24,27,32,31,29,2,2,21,21,22,21
602,4,4,4,4,5,4,4,5,4,4,4,5,3,4,4,4,4,4,4,4,4,3,3,3,4,3
455,4,4,4,4,5,5,5,5,5,4,4,4,4,5,4,4,5,5,3,2,4,4,3,3,3,3
410,5,4,4,6,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4
568,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,6,5,7,5,5,4,4,4,4,4,4
432,5,6,4,5,5,5,4,5,5,5,5,5,4,6,4,5,6,6,6,6,4,4,4,4,4,4
144,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,4,4,4,4,4,4
569,4,4,4,4,4,4,4,5,5,5,5,5,38,45,44,43,47,44,42,41,4,4,4,5,5,5
429,7,7,5,5,5,5,5,5,5,5,5,7,1,11,9,9,1,8,7,9,7,8,9,7,8,7
370,3,3,3,4,5,5,4,5,5,5,5,8,2,3,3,1,3,3,3,3,4,4,4,4,4,4
544,8,5,6,5,6,5,6,5,5,7,5,5,7,5,6,7,7,8,6,6,4,4,4,5,5,5
344,5,6,5,6,6,6,6,6,5,5,5,5,4,6,5,6,1,3,3,5,4,5,4,5,4,4
340,5,5,6,5,5,5,5,6,6,5,6,5,4,5,6,6,5,5,6,5,4,4,4,5,5,5
255,5,5,5,5,6,6,6,6,6,6,5,5,4,5,5,5,5,5,6,6,4,4,4,4,5,4
395,5,4,5,6,6,6,6,6,6,6,6,6,4,4,5,6,6,6,6,6,5,4,4,5,5,5
31,5,6,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4
95,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,4,5,5,5,5,5,5
277,6,7,7,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,6,8,5,5,5,5,5,5
