,LocationCode,Location,Company,DepartmentNumber,CostCenter
468,7000,Denmark,Company D,77_7,238
469,7000,Denmark,Company D,77_7,243
470,7000,Denmark,Company D,77_7,310
471,7000,Denmark,Company D,77_7,231
472,7000,Denmark,Company D,77_7,242
473,7000,Denmark,Company D,77_7,299
474,7000,Denmark,Company D,77_7,302
475,7000,Denmark,Company D,77_7,58
476,7000,Denmark,Company D,77_7,230
477,7000,Denmark,Company D,77_7,233
478,7000,Denmark,Company D,77_7,403
479,7000,Denmark,Company D,77_7,654
480,7000,Denmark,Company D,77_7,228
481,7000,Denmark,Company D,77_7,232
482,7000,Denmark,Company D,77_7,241
483,7000,Denmark,Company D,77_7,307
484,7000,Denmark,Company D,77_7,400
485,7000,Denmark,Company D,77_7,405
486,7000,Denmark,Company D,18_2,244
487,7000,Denmark,Company D,18_2,263
488,7000,Denmark,Company D,18_2,311
489,7000,Denmark,Company D,18_2,413
490,7000,Denmark,Company D,18_2,414
491,7000,Denmark,Company D,18_2,420
492,7000,Denmark,Company D,18_2,188
493,7000,Denmark,Company D,18_2,247
494,7000,Denmark,Company D,18_2,248
495,7000,Denmark,Company D,18_2,252
496,7000,Denmark,Company D,18_2,254
497,7000,Denmark,Company D,18_2,259
498,7000,Denmark,Company D,18_2,417
499,7000,Denmark,Company D,18_2,253
500,7000,Denmark,Company D,18_2,313
501,7000,Denmark,Company D,18_2,406
502,7000,Denmark,Company D,18_2,410
503,7000,Denmark,Company D,18_2,671
504,7000,Denmark,Company D,18_2,255
505,7000,Denmark,Company D,18_2,256
506,7000,Denmark,Company D,18_2,258
507,7000,Denmark,Company D,18_2,264
508,7000,Denmark,Company D,18_2,408
509,7000,Denmark,Company D,18_2,409
510,7000,Denmark,Company D,18_2,418
511,7000,Denmark,Company D,18_2,657
512,7000,Denmark,Company D,18_2,245
513,7000,Denmark,Company D,18_2,249
514,7000,Denmark,Company D,18_2,250
515,7000,Denmark,Company D,18_2,262
516,7000,Denmark,Company D,18_2,314
517,7000,Denmark,Company D,18_2,246
518,7000,Denmark,Company D,18_2,260
519,7000,Denmark,Company D,18_2,265
520,7000,Denmark,Company D,18_2,312
521,7000,Denmark,Company D,18_2,315
522,7000,Denmark,Company D,18_2,415
523,7000,Denmark,Company D,18_2,622
524,7000,Denmark,Company D,18_2,656
525,7000,Denmark,Company D,18_2,251
526,7000,Denmark,Company D,18_2,257
527,7000,Denmark,Company D,18_2,261
528,7000,Denmark,Company D,18_2,266
529,7000,Denmark,Company D,18_2,407
530,7000,Denmark,Company D,18_2,411
531,7000,Denmark,Company D,18_2,412
532,7000,Denmark,Company D,18_2,416
533,7000,Denmark,Company D,18_2,419
534,7000,Denmark,Company D,18_2,551
535,7000,Denmark,Company D,18_2,623
536,7000,Denmark,Company D,90_4,609
537,7000,Denmark,Company D,90_4,647
538,7000,Denmark,Company D,46_6,323
539,7000,Denmark,Company D,46_6,341
540,7000,Denmark,Company D,46_6,537
541,7000,Denmark,Company D,46_6,267
542,7000,Denmark,Company D,46_6,280
543,7000,Denmark,Company D,46_6,281
544,7000,Denmark,Company D,46_6,316
545,7000,Denmark,Company D,46_6,317
546,7000,Denmark,Company D,46_6,318
547,7000,Denmark,Company D,46_6,320
548,7000,Denmark,Company D,46_6,322
549,7000,Denmark,Company D,46_6,327
550,7000,Denmark,Company D,46_6,337
551,7000,Denmark,Company D,46_6,529
552,7000,Denmark,Company D,46_6,271
553,7000,Denmark,Company D,46_6,274
554,7000,Denmark,Company D,46_6,275
555,7000,Denmark,Company D,46_6,277
556,7000,Denmark,Company D,46_6,326
557,7000,Denmark,Company D,46_6,332
558,7000,Denmark,Company D,46_6,333
559,7000,Denmark,Company D,46_6,334
560,7000,Denmark,Company D,46_6,272
561,7000,Denmark,Company D,46_6,273
562,7000,Denmark,Company D,46_6,276
563,7000,Denmark,Company D,46_6,279
564,7000,Denmark,Company D,46_6,283
565,7000,Denmark,Company D,46_6,321
566,7000,Denmark,Company D,46_6,329
567,7000,Denmark,Company D,46_6,336
568,7000,Denmark,Company D,46_6,343
569,7000,Denmark,Company D,46_6,344
570,7000,Denmark,Company D,46_6,538
571,7000,Denmark,Company D,46_6,539
572,7000,Denmark,Company D,46_6,338
573,7000,Denmark,Company D,46_6,670
574,7000,Denmark,Company D,46_6,270
575,7000,Denmark,Company D,46_6,325
576,7000,Denmark,Company D,46_6,328
577,7000,Denmark,Company D,46_6,331
578,7000,Denmark,Company D,46_6,335
579,7000,Denmark,Company D,46_6,159
580,7000,Denmark,Company D,46_6,268
581,7000,Denmark,Company D,46_6,269
582,7000,Denmark,Company D,46_6,324
583,7000,Denmark,Company D,46_6,330
584,7000,Denmark,Company D,46_6,339
585,7000,Denmark,Company D,46_6,340
586,7000,Denmark,Company D,46_6,620
587,7000,Denmark,Company D,46_6,652
588,7000,Denmark,Company D,46_6,278
589,7000,Denmark,Company D,46_6,282
590,7000,Denmark,Company D,46_6,319
591,7000,Denmark,Company D,46_6,342
592,7000,Denmark,Company D,56_6,285
593,7000,Denmark,Company D,56_6,288
594,7000,Denmark,Company D,56_6,370
595,7000,Denmark,Company D,56_6,371
596,7000,Denmark,Company D,56_6,374
597,7000,Denmark,Company D,56_6,375
598,7000,Denmark,Company D,56_6,348
599,7000,Denmark,Company D,56_6,364
600,7000,Denmark,Company D,56_6,366
601,7000,Denmark,Company D,56_6,655
602,7000,Denmark,Company D,56_6,668
603,7000,Denmark,Company D,56_6,286
604,7000,Denmark,Company D,56_6,345
605,7000,Denmark,Company D,56_6,354
606,7000,Denmark,Company D,56_6,63
607,7000,Denmark,Company D,56_6,289
608,7000,Denmark,Company D,56_6,346
609,7000,Denmark,Company D,56_6,351
610,7000,Denmark,Company D,56_6,353
611,7000,Denmark,Company D,56_6,367
612,7000,Denmark,Company D,56_6,284
613,7000,Denmark,Company D,56_6,295
614,7000,Denmark,Company D,56_6,368
615,7000,Denmark,Company D,56_6,369
616,7000,Denmark,Company D,56_6,363
617,7000,Denmark,Company D,56_6,526
618,7000,Denmark,Company D,56_6,615
619,7000,Denmark,Company D,56_6,57
620,7000,Denmark,Company D,56_6,357
621,7000,Denmark,Company D,56_6,361
622,7000,Denmark,Company D,56_6,621
623,7000,Denmark,Company D,56_6,287
624,7000,Denmark,Company D,56_6,291
625,7000,Denmark,Company D,56_6,292
626,7000,Denmark,Company D,56_6,294
627,7000,Denmark,Company D,56_6,297
628,7000,Denmark,Company D,56_6,373
629,7000,Denmark,Company D,56_6,349
630,7000,Denmark,Company D,56_6,355
631,7000,Denmark,Company D,56_6,356
632,7000,Denmark,Company D,56_6,359
633,7000,Denmark,Company D,56_6,360
634,7000,Denmark,Company D,56_6,290
635,7000,Denmark,Company D,56_6,293
636,7000,Denmark,Company D,56_6,296
637,7000,Denmark,Company D,56_6,372
638,7000,Denmark,Company D,56_6,352
639,7000,Denmark,Company D,56_6,358
640,7000,Denmark,Company D,56_6,362
641,7000,Denmark,Company D,56_6,365
642,7000,Denmark,Company D,56_6,614
643,7000,Denmark,Company D,56_6,298
644,7000,Denmark,Company D,56_6,347
645,7000,Denmark,Company D,56_6,350
646,7000,Denmark,Company D,72_9,46
649,7000,Denmark,Company D,90_4,196
650,7000,Denmark,Company D,90_4,546
651,7000,Denmark,Company D,90_4,62
652,7000,Denmark,Company D,90_4,65
653,7000,Denmark,Company D,90_4,543
654,7000,Denmark,Company D,90_4,160
655,7000,Denmark,Company D,90_4,60
656,7000,Denmark,Company D,90_4,524
657,7000,Denmark,Company D,90_4,194
658,7000,Denmark,Company D,90_4,541
660,7000,Denmark,Company D,78_8,55
661,7000,Denmark,Company E,46_2,550
662,7000,Denmark,Company E,72_8,51
663,7000,Denmark,Company E,72_8,52
664,7000,Denmark,Company E,72_8,187
665,7000,Denmark,Company E,72_8,664
666,7000,Denmark,Company E,72_8,53
667,7000,Denmark,Company E,28_1,558
668,7000,Denmark,Company E,28_1,556
669,7000,Denmark,Company E,28_1,557
670,7000,Denmark,Company E,28_1,559
671,7000,Denmark,Company E,28_1,554
672,7000,Denmark,Company E,28_1,542
673,7000,Denmark,Company E,28_1,553
674,7000,Denmark,Company E,28_1,555
675,7000,Denmark,Company F,11_5,525
676,7000,Denmark,Company F,11_5,89
